Station Name,Measurement Timestamp,Air Temperature
63rd Street Weather Station,07/10/2015 04:00:00 AM,17.70
63rd Street Weather Station,07/10/2015 05:00:00 AM,17.60
63rd Street Weather Station,07/10/2015 06:00:00 AM,17.60
63rd Street Weather Station,07/10/2015 07:00:00 AM,18.30
63rd Street Weather Station,07/10/2015 08:00:00 AM,19.90
63rd Street Weather Station,07/10/2015 09:00:00 AM,20.20
63rd Street Weather Station,07/10/2015 10:00:00 AM,19.30
63rd Street Weather Station,07/10/2015 11:00:00 AM,19.90
63rd Street Weather Station,07/10/2015 12:00:00 PM,20.60
63rd Street Weather Station,07/10/2015 01:00:00 PM,20.20
63rd Street Weather Station,07/10/2015 02:00:00 PM,20.80
63rd Street Weather Station,07/10/2015 03:00:00 PM,21.60
63rd Street Weather Station,07/10/2015 04:00:00 PM,21.80
63rd Street Weather Station,07/10/2015 05:00:00 PM,21.40
63rd Street Weather Station,07/10/2015 06:00:00 PM,21.70
63rd Street Weather Station,07/10/2015 07:00:00 PM,21.70
63rd Street Weather Station,07/10/2015 08:00:00 PM,21.20
63rd Street Weather Station,07/10/2015 09:00:00 PM,20.30
63rd Street Weather Station,07/10/2015 10:00:00 PM,21.10
63rd Street Weather Station,07/10/2015 11:00:00 PM,21.10
63rd Street Weather Station,07/10/2015 12:00:00 AM,18.30
63rd Street Weather Station,07/11/2015 01:00:00 AM,19.30
63rd Street Weather Station,07/11/2015 02:00:00 AM,19.40
63rd Street Weather Station,07/11/2015 03:00:00 AM,19.80
63rd Street Weather Station,07/11/2015 04:00:00 AM,18.80
63rd Street Weather Station,07/11/2015 05:00:00 AM,18.50
63rd Street Weather Station,07/11/2015 06:00:00 AM,18.70
63rd Street Weather Station,07/11/2015 07:00:00 AM,19.90
63rd Street Weather Station,07/11/2015 08:00:00 AM,22.00
63rd Street Weather Station,07/11/2015 09:00:00 AM,20.80
63rd Street Weather Station,07/11/2015 10:00:00 AM,21.30
63rd Street Weather Station,07/11/2015 11:00:00 AM,22.70
63rd Street Weather Station,07/11/2015 12:00:00 PM,24.90
63rd Street Weather Station,07/11/2015 01:00:00 PM,25.40
63rd Street Weather Station,07/11/2015 02:00:00 PM,22.70
63rd Street Weather Station,07/11/2015 03:00:00 PM,21.50
63rd Street Weather Station,07/11/2015 04:00:00 PM,21.40
63rd Street Weather Station,07/11/2015 05:00:00 PM,22.60
63rd Street Weather Station,07/11/2015 06:00:00 PM,21.70
63rd Street Weather Station,07/11/2015 07:00:00 PM,21.20
63rd Street Weather Station,07/11/2015 08:00:00 PM,20.90
63rd Street Weather Station,07/11/2015 09:00:00 PM,21.10
