Station Name,Measurement Timestamp,Air Temperature,wind
63rd Street Weather Station,07/02/2015 04:00:00 PM,16.40,4.5
63rd Street Weather Station,07/02/2015 05:00:00 PM,16.80,3.1
63rd Street Weather Station,07/02/2015 06:00:00 PM,16.00,2.7
63rd Street Weather Station,07/02/2015 07:00:00 PM,16.00,3.1
63rd Street Weather Station,07/02/2015 08:00:00 PM,15.80,3.1
63rd Street Weather Station,07/02/2015 09:00:00 PM,15.60,5.8
63rd Street Weather Station,07/02/2015 10:00:00 PM,16.10,1.8
63rd Street Weather Station,07/02/2015 11:00:00 PM,16.60,2.2
63rd Street Weather Station,07/03/2015 01:00:00 AM,17.00,4
63rd Street Weather Station,07/03/2015 02:00:00 AM,17.00,1.8
63rd Street Weather Station,07/03/2015 03:00:00 AM,17.20,2.7
63rd Street Weather Station,07/03/2015 04:00:00 AM,17.30,3.1
63rd Street Weather Station,07/03/2015 05:00:00 AM,17.30,4
63rd Street Weather Station,07/03/2015 06:00:00 AM,17.20,7.6
63rd Street Weather Station,07/03/2015 07:00:00 AM,17.20,7.6
63rd Street Weather Station,07/03/2015 08:00:00 AM,17.60,6.3
63rd Street Weather Station,07/03/2015 09:00:00 AM,17.80,5.4
63rd Street Weather Station,07/03/2015 10:00:00 AM,17.80,2.2
63rd Street Weather Station,07/03/2015 11:00:00 AM,17.90,2.7
63rd Street Weather Station,07/03/2015 12:00:00 PM,17.90,0.4
63rd Street Weather Station,07/03/2015 01:00:00 PM,18.30,3.1
63rd Street Weather Station,07/03/2015 02:00:00 PM,18.20,3.1
63rd Street Weather Station,07/03/2015 03:00:00 PM,18.50,3.6
63rd Street Weather Station,07/03/2015 04:00:00 PM,18.80,2.7
63rd Street Weather Station,07/03/2015 05:00:00 PM,18.90,3.1
63rd Street Weather Station,07/03/2015 06:00:00 PM,18.90,4
63rd Street Weather Station,07/03/2015 07:00:00 PM,18.60,2.2
63rd Street Weather Station,07/03/2015 08:00:00 PM,18.20,2.7
63rd Street Weather Station,07/03/2015 09:00:00 PM,18.40,0.9
63rd Street Weather Station,07/03/2015 10:00:00 PM,18.50,1.8
63rd Street Weather Station,07/03/2015 11:00:00 PM,18.50,4
63rd Street Weather Station,07/03/2015 12:00:00 AM,16.90,7.6
63rd Street Weather Station,07/04/2015 01:00:00 AM,18.00,3.1
63rd Street Weather Station,07/04/2015 02:00:00 AM,18.20,3.6
63rd Street Weather Station,07/04/2015 03:00:00 AM,17.80,3.1
63rd Street Weather Station,07/04/2015 04:00:00 AM,17.30,7.6
63rd Street Weather Station,07/04/2015 05:00:00 AM,17.40,4
63rd Street Weather Station,07/04/2015 06:00:00 AM,17.30,3.1
63rd Street Weather Station,07/04/2015 07:00:00 AM,18.70,3.1
